n,function,axis,Error Location,P0,Sensitivity
1,constant_1,X,E1,0.484375,0.515625
1,constant_1,X,E2,1.0,0.0
1,constant_1,X,E3,1.0,0.0
1,constant_1,X,E4,0.4931640625,0.5068359375
1,constant_1,Y,E1,0.49609375,0.50390625
1,constant_1,Y,E2,0.5029296875,0.4970703125
1,constant_1,Y,E3,0.515625,0.484375
1,constant_1,Y,E4,0.5029296875,0.4970703125
1,constant_1,Z,E1,1.0,0.0
1,constant_1,Z,E2,0.4609375,0.5390625
1,constant_1,Z,E3,0.4931640625,0.5068359375
1,constant_1,Z,E4,1.0,0.0
1,constant_0,X,E1,0.4833984375,0.5166015625
1,constant_0,X,E2,1.0,0.0
1,constant_0,X,E3,1.0,0.0
1,constant_0,X,E4,0.4794921875,0.5205078125
1,constant_0,Y,E1,0.4931640625,0.5068359375
1,constant_0,Y,E2,0.4912109375,0.5087890625
1,constant_0,Y,E3,0.513671875,0.486328125
1,constant_0,Y,E4,0.5,0.5
1,constant_0,Z,E1,1.0,0.0
1,constant_0,Z,E2,0.5146484375,0.4853515625
1,constant_0,Z,E3,0.4931640625,0.5068359375
1,constant_0,Z,E4,1.0,0.0
1,balanced,X,E1,0.498046875,0.498046875
1,balanced,X,E2,0.0,0.0
1,balanced,X,E3,0.0,0.0
1,balanced,X,E4,0.49609375,0.49609375
1,balanced,Y,E1,0.486328125,0.486328125
1,balanced,Y,E2,0.5068359375,0.5068359375
1,balanced,Y,E3,0.5146484375,0.5146484375
1,balanced,Y,E4,0.4951171875,0.4951171875
1,balanced,Z,E1,0.0,0.0
1,balanced,Z,E2,0.474609375,0.474609375
1,balanced,Z,E3,0.4794921875,0.4794921875
1,balanced,Z,E4,0.0,0.0
3,constant_1,X,E1,0.4912109375,0.5087890625
3,constant_1,X,E2,1.0,0.0
3,constant_1,X,E3,1.0,0.0
3,constant_1,X,E4,0.4931640625,0.5068359375
3,constant_1,Y,E1,0.49609375,0.50390625
3,constant_1,Y,E2,0.51171875,0.48828125
3,constant_1,Y,E3,0.48046875,0.51953125
3,constant_1,Y,E4,0.5126953125,0.4873046875
3,constant_1,Z,E1,1.0,0.0
3,constant_1,Z,E2,0.501953125,0.498046875
3,constant_1,Z,E3,0.49609375,0.50390625
3,constant_1,Z,E4,1.0,0.0
3,constant_0,X,E1,0.4931640625,0.5068359375
3,constant_0,X,E2,1.0,0.0
3,constant_0,X,E3,1.0,0.0
3,constant_0,X,E4,0.51171875,0.48828125
3,constant_0,Y,E1,0.4912109375,0.5087890625
3,constant_0,Y,E2,0.521484375,0.478515625
3,constant_0,Y,E3,0.4814453125,0.5185546875
3,constant_0,Y,E4,0.4853515625,0.5146484375
3,constant_0,Z,E1,1.0,0.0
3,constant_0,Z,E2,0.4873046875,0.5126953125
3,constant_0,Z,E3,0.4892578125,0.5107421875
3,constant_0,Z,E4,1.0,0.0
3,balanced,X,E1,0.0,0.0
3,balanced,X,E2,0.0,0.0
3,balanced,X,E3,0.0,0.0
3,balanced,X,E4,0.0,0.0
3,balanced,Y,E1,0.0,0.0
3,balanced,Y,E2,0.0,0.0
3,balanced,Y,E3,0.0,0.0
3,balanced,Y,E4,0.0,0.0
3,balanced,Z,E1,0.0,0.0
3,balanced,Z,E2,0.0,0.0
3,balanced,Z,E3,0.0,0.0
3,balanced,Z,E4,0.0,0.0
5,constant_1,X,E1,0.490234375,0.509765625
5,constant_1,X,E2,1.0,0.0
5,constant_1,X,E3,1.0,0.0
5,constant_1,X,E4,0.5048828125,0.4951171875
5,constant_1,Y,E1,0.5185546875,0.4814453125
5,constant_1,Y,E2,0.5048828125,0.4951171875
5,constant_1,Y,E3,0.5029296875,0.4970703125
5,constant_1,Y,E4,0.5,0.5
5,constant_1,Z,E1,1.0,0.0
5,constant_1,Z,E2,0.5126953125,0.4873046875
5,constant_1,Z,E3,0.50390625,0.49609375
5,constant_1,Z,E4,1.0,0.0
5,constant_0,X,E1,0.5029296875,0.4970703125
5,constant_0,X,E2,1.0,0.0
5,constant_0,X,E3,1.0,0.0
5,constant_0,X,E4,0.5048828125,0.4951171875
5,constant_0,Y,E1,0.4873046875,0.5126953125
5,constant_0,Y,E2,0.5126953125,0.4873046875
5,constant_0,Y,E3,0.482421875,0.517578125
5,constant_0,Y,E4,0.494140625,0.505859375
5,constant_0,Z,E1,1.0,0.0
5,constant_0,Z,E2,0.4873046875,0.5126953125
5,constant_0,Z,E3,0.5078125,0.4921875
5,constant_0,Z,E4,1.0,0.0
5,balanced,X,E1,0.0,0.0
5,balanced,X,E2,0.0,0.0
5,balanced,X,E3,0.0,0.0
5,balanced,X,E4,0.0,0.0
5,balanced,Y,E1,0.0,0.0
5,balanced,Y,E2,0.0,0.0
5,balanced,Y,E3,0.0,0.0
5,balanced,Y,E4,0.0,0.0
5,balanced,Z,E1,0.0,0.0
5,balanced,Z,E2,0.0,0.0
5,balanced,Z,E3,0.0,0.0
5,balanced,Z,E4,0.0,0.0
7,constant_1,X,E1,0.5185546875,0.4814453125
7,constant_1,X,E2,1.0,0.0
7,constant_1,X,E3,1.0,0.0
7,constant_1,X,E4,0.4755859375,0.5244140625
7,constant_1,Y,E1,0.4638671875,0.5361328125
7,constant_1,Y,E2,0.4931640625,0.5068359375
7,constant_1,Y,E3,0.490234375,0.509765625
7,constant_1,Y,E4,0.4951171875,0.5048828125
7,constant_1,Z,E1,1.0,0.0
7,constant_1,Z,E2,0.4931640625,0.5068359375
7,constant_1,Z,E3,0.4921875,0.5078125
7,constant_1,Z,E4,1.0,0.0
7,constant_0,X,E1,0.4990234375,0.5009765625
7,constant_0,X,E2,1.0,0.0
7,constant_0,X,E3,1.0,0.0
7,constant_0,X,E4,0.4833984375,0.5166015625
7,constant_0,Y,E1,0.5244140625,0.4755859375
7,constant_0,Y,E2,0.5078125,0.4921875
7,constant_0,Y,E3,0.5,0.5
7,constant_0,Y,E4,0.484375,0.515625
7,constant_0,Z,E1,1.0,0.0
7,constant_0,Z,E2,0.509765625,0.490234375
7,constant_0,Z,E3,0.4599609375,0.5400390625
7,constant_0,Z,E4,1.0,0.0
7,balanced,X,E1,0.0,0.0
7,balanced,X,E2,0.0,0.0
7,balanced,X,E3,0.0,0.0
7,balanced,X,E4,0.0,0.0
7,balanced,Y,E1,0.0,0.0
7,balanced,Y,E2,0.0,0.0
7,balanced,Y,E3,0.0,0.0
7,balanced,Y,E4,0.0,0.0
7,balanced,Z,E1,0.0,0.0
7,balanced,Z,E2,0.0,0.0
7,balanced,Z,E3,0.0,0.0
7,balanced,Z,E4,0.0,0.0
9,constant_1,X,E1,0.5126953125,0.4873046875
9,constant_1,X,E2,1.0,0.0
9,constant_1,X,E3,1.0,0.0
9,constant_1,X,E4,0.48828125,0.51171875
9,constant_1,Y,E1,0.5068359375,0.4931640625
9,constant_1,Y,E2,0.5068359375,0.4931640625
9,constant_1,Y,E3,0.4873046875,0.5126953125
9,constant_1,Y,E4,0.5087890625,0.4912109375
9,constant_1,Z,E1,1.0,0.0
9,constant_1,Z,E2,0.5,0.5
9,constant_1,Z,E3,0.5087890625,0.4912109375
9,constant_1,Z,E4,1.0,0.0
9,constant_0,X,E1,0.490234375,0.509765625
9,constant_0,X,E2,1.0,0.0
9,constant_0,X,E3,1.0,0.0
9,constant_0,X,E4,0.5009765625,0.4990234375
9,constant_0,Y,E1,0.494140625,0.505859375
9,constant_0,Y,E2,0.5078125,0.4921875
9,constant_0,Y,E3,0.5107421875,0.4892578125
9,constant_0,Y,E4,0.5322265625,0.4677734375
9,constant_0,Z,E1,1.0,0.0
9,constant_0,Z,E2,0.501953125,0.498046875
9,constant_0,Z,E3,0.5068359375,0.4931640625
9,constant_0,Z,E4,1.0,0.0
9,balanced,X,E1,0.0,0.0
9,balanced,X,E2,0.0,0.0
9,balanced,X,E3,0.0,0.0
9,balanced,X,E4,0.0,0.0
9,balanced,Y,E1,0.0,0.0
9,balanced,Y,E2,0.0,0.0
9,balanced,Y,E3,0.0,0.0
9,balanced,Y,E4,0.0,0.0
9,balanced,Z,E1,0.0,0.0
9,balanced,Z,E2,0.0,0.0
9,balanced,Z,E3,0.0,0.0
9,balanced,Z,E4,0.0,0.0
